Date,Company,Position,Industry,Place,Rejection,Interview,Assignment,Offer
16.04.2021,Wayfair,Senior Data Science Analyst,Marketplace,Berlin,Yes,No,No,No
17.04.2021,Shopify,Senior Data Scientist,Marketplace,Berlin,Yes,No,No,No
17.04.2021,Immer Learn,Data Scientist,Machine Learning,Berlin,Yes,No,No,No
17.04.2021,Remerge,(Senior) Data Scientist,Marketing,Berlin,Yes,No,No,No
18.04.2021,Knowunity,Data Analyst,Software,Sindelfingen,Yes,No,No,No
19.04.2021,Gorillas,Data Scientist,Delivery,Berlin,Yes,No,No,No
19.04.2021,Gorillas,Data Scientist,Delivery,Berlin,Yes,No,No,No
19.04.2021,Doctolib,Product Data Analyst,Software,Berlin,Yes,No,No,No
19.04.2021,Lendico,(Senior) Data Marketing Analyst,Fintech,Berlin,Yes,No,No,No
19.04.2021,12traits,Senior Product Data Analyst,Software,Berlin,Yes,No,No,No
22.04.2021,Takeaway,Product Analyst,Delivery,Berlin,No,27.04.2021,No,No
22.04.2021,Pitch,Research Data Scientist,Software,Berlin,Yes,No,No,No
22.04.2021,P&G,Internship/Thesis,Production,Berlin,Yes,No,No,No
22.04.2021,Trade Republic,(Senior) Data Scientist,Fintech,Berlin,Yes,No,No,No
22.04.2021,Delivery Hero,(Senior) Data Scientist,Delivery,Berlin,Yes,No,No,No
22.04.2021,Kineo,Junior Machine Learning Scientist,Machine Learning,Berlin,Yes,No,No,No
22.04.2021,Ströer,Senior Data Scientist,Marketing,Berlin,Yes,No,No,No
26.04.2021,Free Now,Senior Data Scientist,Mobility,Berlin,Yes,No,No,No
28.04.2021,Share Now,Data Scientist,Mobility,Berlin,Yes,No,No,No
28.04.2021,Selby Jennings,Data Scientist,Fintech,Berlin,Yes,No,No,No
01.05.2021,Automation Hero,Data Scientist,Machine Learning,Berlin,Yes,No,No,No
01.05.2021,Tier,(Senior) Data Analyst,Mobility,Berlin,Yes,No,No,No
01.05.2021,Taxfix,Data Analyst,Taxes,Berlin,Yes,No,No,No
01.05.2021,Basf,Data Scientist,Production,Berlin,Yes,No,No,No
